"drop","Open","High","Low","Close","Adj.Close","Volume","OilPrice","deaths","DPRIME","TOTALSA","GoogleTrend","new_cases","new_deaths"
"39",-0.779780911118827,-0.8015136543008,-0.842510814917012,-0.863112432258898,-0.863112432258898,1.20711410833917,1.13756007058241,-0.270565189334768,1.75561984519057,1.10755646706201,-0.726491375803404,-1.12130249486623,-1.06511879515547
"40",-0.938229649039268,-0.877601000355855,-0.936118288949083,-0.880543930064518,-0.880543930064518,1.24019013397404,1.11126353972371,-0.270565189334768,1.75561984519057,1.10755646706201,-0.501631026652682,-1.12147440258771,-1.06511879515547
"41",-0.809385402015314,-0.795457466802221,-0.813734851551059,-0.760803160164925,-0.760803160164925,0.736650861486613,0.890532053424873,-0.270565189334768,1.75561984519057,-1.07385909753312,1.91561772671759,-1.1208211532461,-1.06371917296027
"42",-0.661299789196153,-0.697679429299032,-0.765791157117043,-0.757810779270722,-0.757810779270722,1.38076900529606,0.820407971134991,-0.270565189334768,1.75561984519057,-1.07385909753312,1.80318755214222,-1.12102744251187,-1.05952030637465
"43",-0.72613260382105,-0.760186940609527,-0.751753303642086,-0.751493718066974,-0.751493718066974,0.143587349580474,0.916828584283579,2.58969538363278,1.02983287008385,-1.07385909753312,1.52211211570382,-1.12075239015751,-1.06091992856986
"44",-0.789622758777354,-0.792275027606167,-0.76259926983261,-0.791011430769076,-0.791011430769076,-0.340025634292773,0.894516376282252,-0.270565189334768,1.02983287008385,-1.07385909753312,1.24103667926542,-1.12033981162597,-1.06231955076506
"45",-0.84297084281092,-0.852140760674011,-0.817643272331214,-0.824354621831302,-0.824354621831302,-0.131404653093299,0.864235522566167,-0.270565189334768,1.02983287008385,-1.07385909753312,1.52211211570382,-1.11896454985417,-1.06371917296027
"46",-0.976633322126396,-0.920117242300881,-0.946736262027489,-0.975522879869743,-0.975522879869743,0.376928914399044,0.818814241992039,-0.270565189334768,1.02983287008385,-1.07385909753312,2.42155351230671,-1.1173486172723,-1.05952030637465
"47",-0.89126373230912,-0.912392631582449,-0.941850711624462,-0.916420368833953,-0.916420368833953,0.206443323034343,0.365398300822233,-0.270565189334768,1.02983287008385,-1.07385909753312,1.91561772671759,-1.11463247527299,-1.05812068417945
"48",-0.921642363058766,-0.934670432068238,-0.933708100477381,-0.933994334957411,-0.933994334957411,-0.0553874178711289,-0.452981614083551,-0.270565189334768,1.02983287008385,-1.07385909753312,1.40968194112846,-1.11219138562805,-1.06231955076506
"49",-1.01533717108529,-1.02594444004184,-1.0424119430057,-1.05064784007895,-1.05064784007895,0.588454131995726,-0.433856864368129,-0.270565189334768,1.02983287008385,-1.07385909753312,1.74697246485454,-1.11164128091932,-1.06231955076506
"50",-0.993046930579641,-1.00575232307308,-1.11447403537215,-1.07270247715025,-1.07270247715025,1.0184655147443,-0.523105696373433,-0.270565189334768,1.02983287008385,-1.07385909753312,1.85940263942991,-1.10944086208444,-1.05112257320342
"51",-1.1913053254661,-1.17986505639114,-1.21190855292857,-1.23348100178774,-1.23348100178774,0.770591243192085,-0.796430244389679,-0.270565189334768,-0.421741080129577,-1.07385909753312,1.40968194112846,-1.09321277317718,-1.04832332881301
"52",-1.23789212630232,-1.21542913324035,-1.28709743240333,-1.25702384975041,-1.25702384975041,1.17454517159904,-0.698415902098139,-0.270565189334768,-0.421741080129577,-1.07385909753312,1.46589702841614,-1.0910123543423,-1.04272484003219
"53",-1.3184750550977,-1.31892349081973,-1.36117890861948,-1.36623608667697,-1.36623608667697,1.15052759758403,-1.03867707411836,-0.270565189334768,-0.421741080129577,-1.07385909753312,2.30912333773135,-1.06079097690696,-1.03292748466576
"54",-1.34106546357636,-1.24609584551714,-1.34823212432517,-1.26107696533644,-1.26107696533644,1.88918324602166,-1.03947393868984,-0.270565189334768,-0.421741080129577,-1.07385909753312,2.02804790129295,-1.01877672977843,-1.00633466295686
"55",-1.24075147071139,-1.20747279192498,-1.23858375518902,-1.2612511460553,-1.2612511460553,1.66906056670943,-1.45224978671437,-0.270565189334768,-0.421741080129577,-1.07385909753312,1.46589702841614,-0.955274017465491,-1.06511879515547
"56",-1.2480182970585,-1.261545066954,-1.26348385193418,-1.2505483690336,-1.2505483690336,0.305567677210493,-1.35742290270874,-0.270565189334768,-0.421741080129577,-1.07385909753312,0.903746155539334,-0.830675300940272,-0.881768287583621
"57",-1.17898331248237,-1.15078962164696,-1.16007264965319,-1.13859711793955,-1.13859711793955,1.04784209639702,-1.23231516498701,-0.270565189334768,-0.421741080129577,-1.07385909753312,1.12860650469006,-0.735197752432951,-0.89856375392608
"58",-1.07163938442546,-1.08387902043007,-1.09963821414738,-1.08437098623655,-1.08437098623655,0.855090692653721,-1.37575078785268,-0.270565189334768,-0.421741080129577,-1.07385909753312,1.07239141740238,-0.819329391322909,-0.769798511967222
"59",-1.06825877047238,-1.07924426944824,-1.09778172323368,-1.10192912782439,-1.10192912782439,0.412309889555512,-1.31598594499199,-0.270565189334768,-0.421741080129577,-1.07385909753312,0.678885806388612,-0.641439281140381,-0.716612868549433
"60",-1.13522427688685,-1.13208057586386,-1.12745337382582,-1.12377792718938,-1.12377792718938,0.0661871446453472,-1.22673711298668,-0.270565189334768,-0.421741080129577,-1.07385909753312,0.566455631813251,-0.544001984608243,-0.720811735135048
"61",-1.12691478507186,-1.14621662892782,-1.13201321978296,-1.14314100786757,-1.14314100786757,-0.208021175191084,-1.3916880792822,-0.270565189334768,-0.421741080129577,-1.07385909753312,-0.108125415638917,-0.490263630875098,-0.620038937080289
"62",-1.14114833298298,-1.10556971960282,-1.12261664651923,-1.10851543570405,-1.10851543570405,0.457348603207459,-1.48412436957341,-0.270565189334768,-0.421741080129577,-1.07385909753312,-0.108125415638917,-0.379039335080649,-0.139968524124981
"63",-1.13680400148293,-1.15038792644038,-1.1582813240565,-1.1757084167061,-1.1757084167061,-0.0518493203554821,-1.73912103244571,2.58969538363278,-0.421741080129577,-2.14700699935935,0.00430475893644408,-0.262038939844634,0.207137780285854
"64",-1.1730908355546,-1.18080747434801,-1.20501989575552,-1.21859852081135,-1.21859852081135,0.697858561038186,-2.08496025646626,-0.270565189334768,-0.421741080129577,-2.14700699935935,0.397810369950209,-0.189665789103579,0.417081109566601
"65",-1.12811539377401,-1.14800875406371,-1.16920867564544,-1.17816242299187,-1.17816242299187,-1.07072690193138,-2.07539788160855,2.58969538363278,-0.421741080129577,-2.14700699935935,0.285380195374847,-0.130667059093293,0.215535513457084
"66",-1.12542985327206,-1.13949625622583,-1.12105325703638,-1.1208014341606,-1.1208014341606,-1.24729295013404,-1.65545025244074,-0.270565189334768,-0.421741080129577,-2.14700699935935,-0.220555590214278,-0.248286322126619,0.538848240549434
"67",-1.07203434519476,-1.0715196587298,-1.06506467093165,-1.07455488193119,-1.07455488193119,-1.17772957357234,-1.32953264270708,-0.270565189334768,-0.421741080129577,-2.14700699935935,-0.164340502926598,-0.0707744089313363,0.813174190809611
"68",-1.05750069250054,-1.08355459450451,-1.06345245020975,-1.06918766492662,-1.06918766492662,-1.29905750649,-1.46898394271537,-0.270565189334768,-0.421741080129577,-2.14700699935935,-0.0519103283512366,-0.0689865686279943,1.60256110890522
"69",-1.04503645477805,-1.05579232813325,-1.02472621602207,-1.03093646129284,-1.03093646129284,-1.27614630824536,-1.50723344214621,-0.270565189334768,-0.421741080129577,-2.14700699935935,-0.220555590214278,0.0241874164115594,1.6249550640285
"70",-1.00069292811187,-0.937111478576759,-0.986586176553472,-0.907522467572779,-0.907522467572779,-1.0727252931666,-1.25861169584572,-0.270565189334768,-0.421741080129577,-2.14700699935935,0.116734933511805,-0.171890530703044,1.034314497652
"71",-0.82880045323652,-0.798253775882293,-0.804354628650511,-0.814206036037409,-0.814206036037409,-0.885999027472747,-1.65624711701221,-0.270565189334768,-0.421741080129577,-2.14700699935935,0.397810369950209,-0.261179401237258,1.0916990076554
"72",-0.760823979003648,-0.780873401765822,-0.775741427938777,-0.782636079580723,-0.782636079580723,-1.04733396923672,-1.53592056671935,-0.270565189334768,-0.421741080129577,-2.14700699935935,0.454025457237889,-0.19588884862098,2.30517145089812
"73",-0.800412423816296,-0.77110955561461,-0.781083029706929,-0.758285736993325,-0.758285736993325,-1.11461775072157,-1.69051229358568,-0.270565189334768,-0.421741080129577,-2.14700699935935,0.285380195374847,-0.0849739867251871,5.83221938281467
"74",-0.712989200712734,-0.747163216039808,-0.714411297064182,-0.744543224213978,-0.744543224213978,-1.28817353484903,-1.7789642610195,-0.270565189334768,-0.421741080129577,-2.14700699935935,0.285380195374847,-0.0327484209410239,2.15261263162078
"75",-0.775515646020801,-0.761654639819861,-0.772142385669156,-0.756465036697184,-0.756465036697184,-1.25087023179156,-1.69449661644306,-0.270565189334768,-0.421741080129577,-2.14700699935935,-0.108125415638917,-0.275688412929764,1.41501173474775
