Date,Open,High,Low,Close,Adj Close,Volume,OilPrice,deaths,DPRIME,TOTALSA,GoogleTrend,new_cases,new_deaths
2020/1/27,108.398003,112.888,107.856003,111.603996,111.603996,68040500,59.34,0,4.75,0.577033333,30,3,0
2020/1/28,113.697998,115.362,111.615997,113.379997,113.379997,58942500,58.54,0,4.75,0.577033333,33,0,0
2020/1/29,115.138,117.959999,113.486,116.197998,116.197998,89007500,59.37,0,4.75,0.577033333,46,0,0
2020/1/30,126.484001,130.175995,123.599998,128.162003,128.162003,145028500,59.46,0,4.75,0.577033333,60,0,0
2020/1/31,128,130.600006,126.503998,130.113998,130.113998,78596500,57.72,1,4.75,0.577033333,43,1,0
2020/2/3,134.738007,157.227997,134.703995,156,156,236167500,57.77,0,4.75,0.5738,54,3,0
2020/2/4,176.591995,193.798004,166.776001,177.412003,177.412003,304694000,54,0,4.75,0.5738,100,0,0
2020/2/5,164.651993,169.195999,140.822006,146.940002,146.940002,242119000,53.9,0,4.75,0.5738,92,0,0
2020/2/6,139.983994,159.166,137.399994,149.792007,149.792007,199404000,55.36,0,4.75,0.5738,66,1,0
2020/2/7,146.110001,153.949997,146,149.613998,149.613998,85317500,55.18,0,4.75,0.5738,50,0,0
2020/2/10,160,163.998001,150.479996,154.255997,154.255997,123446000,54.53,0,4.75,0.5738,45,0,0
2020/2/11,153.757996,156.701996,151.600006,154.876007,154.876007,58487500,53.39,0,4.75,0.5738,42,1,0
2020/2/12,155.574005,157.949997,152.673996,153.457993,153.457993,60112500,54,0,4.75,0.5738,39,0,0
2020/2/13,148.367996,163.600006,147,160.800003,160.800003,131446500,55.54,0,4.75,0.5738,44,1,0
2020/2/14,157.444,162.593994,157.100006,160.005997,160.005997,78468500,56.34,0,4.75,0.5738,41,1,0
2020/2/18,168.320007,172,166.472,171.679993,171.679993,81908500,57.37,0,4.75,0.5738,40,0,0
2020/2/19,184.699997,188.955994,180.203995,183.483994,183.483994,127115000,57.83,0,4.75,0.5738,48,0,0
2020/2/20,182.389999,182.399994,171.988007,179.882004,179.882004,88174500,57.35,0,4.75,0.5738,45,0,0
2020/2/21,181.395996,182.612,176.089996,180.199997,180.199997,71574000,59.72,0,4.75,0.5738,40,1,0
2020/2/24,167.800003,172.699997,164.440002,166.757996,166.757996,75961000,59.57,3,4.75,0.5738,43,0,0
2020/2/25,169.800003,171.320007,157.399994,159.981995,159.981995,86452500,58.6,0,4.75,0.5738,43,18,0
2020/2/26,156.5,162.662003,155.222,155.759995,155.759995,70427500,56.71,0,4.75,0.5738,39,0,0
2020/2/27,146,147.953995,133.800003,135.800003,135.800003,121386000,55.29,0,4.75,0.5738,44,6,0
2020/2/28,125.940002,138.104004,122.304001,133.598007,133.598007,122821000,54.96,0,4.75,0.5738,48,1,0
2020/3/2,142.251999,148.738007,137.334,148.723999,148.723999,100975000,52.19,0,4.75,0.3916,91,20,1
2020/3/3,161,161.395996,143.222,149.102005,149.102005,128920000,51.31,0,4.75,0.3916,89,14,4
2020/3/4,152.792007,153.304001,144.945999,149.899994,149.899994,75245000,52.52,1,4.25,0.3916,84,22,3
2020/3/5,144.753998,149.149994,143.613998,144.908005,144.908005,54263500,52.24,0,4.25,0.3916,79,34,2
2020/3/6,138,141.399994,136.854004,140.695999,140.695999,63314500,51.86,0,4.25,0.3916,84,74,1
2020/3/9,121.078003,132.600006,121,121.599998,121.599998,85368500,51.29,0,4.25,0.3916,100,121,4
2020/3/10,131.886002,133.600006,121.599998,129.065994,129.065994,77972000,45.6,0,4.25,0.3916,91,200,5
2020/3/11,128.039993,130.716003,122.599998,126.846001,126.846001,66612500,35.33,0,4.25,0.3916,82,271,2
2020/3/12,116.178001,118.900002,109.25,112.110001,112.110001,94545500,35.57,0,4.25,0.3916,88,287,2
2020/3/13,119,121.514,100.400002,109.323997,109.323997,113201500,34.45,0,4.25,0.3916,90,351,10
2020/3/16,93.900002,98.973999,88.433998,89.014,89.014,102447500,31.02,0,3.25,0.3916,82,823,12
2020/3/17,88.001999,94.370003,79.199997,86.040001,86.040001,119973000,32.25,0,3.25,0.3916,83,887,16
2020/3/18,77.800003,80.972,70.101997,72.244003,72.244003,118931000,27.98,0,3.25,0.3916,98,1766,23
2020/3/19,74.940002,90.400002,71.692001,85.528,85.528,150977500,27.97,0,3.25,0.3916,93,2988,42
2020/3/20,87.639999,95.400002,85.157997,85.505997,85.505997,141427500,22.79,0,3.25,0.3916,83,4835,0
2020/3/23,86.720001,88.400002,82.099998,86.858002,86.858002,82272500,23.98,0,3.25,0.3916,73,8459,131
2020/3/24,95.459999,102.737999,94.800003,101,101,114476000,25.55,0,3.25,0.3916,77,11236,119
2020/3/25,109.050003,111.400002,102.222,107.849998,107.849998,106113500,23.75,0,3.25,0.3916,76,8789,211
